,position,country,genre,original name,year,rating,count
Побег из Шоушенка,1,США,драма,"Shawshank Redemption, The",1994,9.1,765 476
Зеленая миля,2,США,"фэнтези, драма","Green Mile, The",1999,9.1,667 940
Властелин колец: Возвращение короля,3,"Новая Зеландия, США","фэнтези, приключения","Lord of the Rings: The Return of the King, The",2003,8.6,462 500
Интерстеллар,4,"США, Великобритания","фантастика, драма",Interstellar,2014,8.6,693 798
Властелин колец: Две крепости,5,"Новая Зеландия, США","фэнтези, приключения","Lord of the Rings: The Two Towers, The",2002,8.6,444 233
Властелин колец: Братство Кольца,6,"США, Новая Зеландия","фэнтези, приключения","Lord of the Rings: The Fellowship of the Ring, The",2001,8.6,488 212
Друзья: Воссоединение,7,США,комедия,Friends Reunion Special,2021,9.0,20 324
Список Шиндлера,8,США,"драма, биография",Schindler's List,1993,8.8,359 776
Форрест Гамп,9,США,"драма, мелодрама",Forrest Gump,1994,8.9,618 791
Иван Васильевич меняет профессию,10,СССР,"фантастика, комедия",-,1973,8.8,682 515
Король Лев,11,США,"мультфильм, мюзикл","Lion King, The",1994,8.8,520 544
Назад в будущее,12,США,"фантастика, комедия",Back to the Future,1985,8.6,470 348
Тайна Коко,13,США,"мультфильм, фэнтези",Coco,2017,8.6,363 579
Клаус,14,"Испания, Великобритания","мультфильм, семейный",Klaus,2019,8.7,84 420
Криминальное чтиво,15,США,"триллер, комедия",Pulp Fiction,1994,8.6,513 864
"Карты, деньги, два ствола",16,Великобритания,"боевик, комедия","Lock, Stock and Two Smoking Barrels",1998,8.6,386 736
1+1,17,Франция,"драма, комедия",Intouchables,2011,8.8,1 261 694
ВАЛЛ·И,18,США,"мультфильм, фантастика",WALL·E,2008,8.3,464 151
В бой идут одни «старики»,19,СССР,"военный, драма",-,1973,8.7,355 987
Начало,20,"США, Великобритания","фантастика, боевик",Inception,2010,8.7,770 638
Унесённые призраками,21,Япония,"аниме, мультфильм",Sen to Chihiro no kamikakushi,2001,8.4,347 416
Большой куш,22,"Великобритания, США","криминал, комедия",Snatch,2000,8.5,381 652
Операция «Ы» и другие приключения Шурика,23,СССР,"комедия, мелодрама",-,1965,8.7,608 140
Джентльмены удачи,24,СССР,"драма, комедия",-,1971,8.5,481 647
Остров проклятых,25,США,"триллер, детектив",Shutter Island,2009,8.5,556 565
Достучаться до небес,26,Германия,"драма, комедия",Knockin' on Heaven's Door,1997,8.6,445 715
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,27,СССР,"детектив, криминал",-,1981,8.6,159 380
Бойцовский клуб,28,"Германия, США","триллер, драма",Fight Club,1999,8.6,606 807
12 разгневанных мужчин,29,США,"драма, детектив",12 Angry Men,1956,8.5,104 770
Матрица,30,США,"фантастика, боевик","Matrix, The",1999,8.5,514 693
Престиж,31,"Великобритания, США","фантастика, триллер","Prestige, The",2006,8.5,513 172
Джентльмены,32,"Великобритания, США","криминал, комедия","Gentlemen, The",2019,8.5,704 185
...А зори здесь тихие,33,СССР,"драма, военный",-,1972,8.5,190 856
Шрэк,34,США,"мультфильм, фэнтези",Shrek,2001,8.0,387 558
Брат,35,Россия,"драма, криминал",-,1997,8.2,703 602
Один дома,36,США,"комедия, семейный",Home Alone,1990,8.2,550 471
Москва слезам не верит,37,СССР,"драма, мелодрама",-,1979,8.4,396 265
Темный рыцарь,38,"США, Великобритания","фантастика, боевик","Dark Knight, The",2008,8.5,516 847
Пираты Карибского моря: Проклятие Черной жемчужины,39,США,"фэнтези, боевик",Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.3,537 983
Леон,40,"Франция, США","боевик, триллер",Léon,1994,8.7,507 694
Джанго освобожденный,41,США,"вестерн, боевик",Django Unchained,2012,8.2,465 282
Игры разума,42,США,"драма, биография",A Beautiful Mind,2001,8.6,418 264
Терминатор 2: Судный день,43,"США, Франция","фантастика, боевик",Terminator 2: Judgment Day,1991,8.3,358 409
Гарри Поттер и узник Азкабана,44,"Великобритания, США","фэнтези, приключения",Harry Potter and the Prisoner of Azkaban,2004,8.2,429 541
Одержимость,45,США,"драма, музыка",Whiplash,2013,8.3,253 002
Остров сокровищ,46,СССР,"мультфильм, приключения",-,1988,8.2,109 423
Гарри Поттер и философский камень,47,"Великобритания, США","фэнтези, приключения",Harry Potter and the Sorcerer's Stone,2001,8.2,562 616
Назад в будущее 2,48,США,"фантастика, приключения",Back to the Future Part II,1989,8.3,327 441
Твоё имя,49,Япония,"аниме, мультфильм",Kimi no na wa.,2016,8.3,136 439
Гладиатор,50,"США, Великобритания","боевик, история",Gladiator,2000,8.6,422 121
Отступники,51,США,"триллер, драма","Departed, The",2006,8.5,383 984
"Поймай меня, если сможешь",52,"США, Канада","криминал, биография",Catch Me If You Can,2002,8.5,424 767
Брат 2,53,"Россия, США","боевик, криминал",-,2000,8.1,600 005
