,rating_IMBD,position_IMDB
Побег из Шоушенка,9.3,1
Крёстный отец,9.2,2
Хвала храбрецам,9.1,3
Темный рыцарь,9.0,4
Крёстный отец 2,9.0,5
12 рaзгневанных мужчин,9.0,6
Властелин колец: Возвращение короля,8.9,7
Криминальное чтиво,8.9,8
Список Шиндлера,8.9,9
Начало,8.8,10
Бойцовский клуб,8.8,11
Властелин колец: Братство кольца,8.8,12
Форрест Гамп,8.8,13
"Хороший, плохой, злой",8.8,14
Видимость 2,8.7,15
Властелин колец: Две крепости,8.7,16
Матрица,8.7,17
Славные парни,8.7,18
Звёздные войны. Эпизод 5: Империя наносит ответный удар,8.7,19
Пролетая над гнездом кукушки,8.7,20
Паразиты,8.6,21
Интерстеллар,8.6,22
Город Бога,8.6,23
Унесённые призраками,8.6,24
Спасти рядового Райана,8.6,25
Зелёная миля,8.6,26
Жизнь прекрасна,8.6,27
Семь,8.6,28
Молчание ягнят,8.6,29
Звёздные войны. Эпизод 4: Новая надежда,8.6,30
Seppuku,8.6,31
Pather Panchali,8.6,32
Семь самураев,8.6,33
Эта замечательная жизнь,8.6,34
Гамильтон,8.5,35
Золушка,8.5,36
Одержимость,8.5,37
1+1,8.5,38
Престиж,8.5,39
Отступники,8.5,40
Пианист,8.5,41
Гладиатор,8.5,42
Американская история Икс,8.5,43
Подозрительные лица,8.5,44
Леон,8.5,45
Король лев,8.5,46
Терминатор 2: Судный день,8.5,47
Новый кинотеатр «Парадизо»,8.5,48
Могила светлячков,8.5,49
Назад в будущее,8.5,50
Однажды на Диком Западе,8.5,51
Психо,8.5,52
Окно во двор,8.5,53
Casablanca,8.5,54
Новые времена,8.5,55
Огни большого города,8.5,56
Капернаум,8.4,57
Джокер,8.4,58
Айла: Дочь войны,8.4,59
Викрам Ведха,8.4,60
Твоё имя,8.4,61
Дангал,8.4,62
Человек-паук: Через Вселенные,8.4,63
Мстители: Финал,8.4,64
Мстители: Война бесконечности,8.4,65
Тайна Коко,8.4,66
Джанго освобожденный,8.4,67
Темный рыцарь: Возрождение легенды,8.4,68
Три идиота,8.4,69
Звёздочки на земле,8.4,70
ВАЛЛ·И,8.4,71
Жизнь других,8.4,72
Олдбой,8.4,73
Помни,8.4,74
Принцесса Мононоке,8.4,75
Однажды в Америке,8.4,76
Индиана Джонс: В поисках утраченного ковчега,8.4,77
Сияние,8.4,78
Апокалипсис сегодня,8.4,79
Чужой,8.4,80
Tengoku to jigoku,8.4,81
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",8.4,82
Свидетель обвинения,8.4,83
Тропы славы,8.4,84
Sunset Blvd.,8.4,85
Великий диктатор,8.4,86
Налегке,8.3,87
1917,8.3,88
Тумбад,8.3,89
Видимость,8.2,141
Охота,8.3,91
Развод Надера и Симин,8.3,92
Пожары,8.3,93
Дара из Ясеноваца,8.3,94
Отец,8.3,95
Мой отец и мой сын,8.3,96
Бесславные ублюдки,8.3,97
Вечное сияние чистого разума,8.3,98
Амели,8.3,99
Большой куш,8.3,100
Реквием по мечте,8.3,101
Красота по-американски,8.3,102
Умница Уилл Хантинг,8.3,103
Дети небес,8.3,104
История игрушек,8.3,105
Храброе сердце,8.3,106
Бешеные псы,8.3,107
Цельнометаллическая оболочка,8.3,108
Иди и смотри,8.3,109
Чужие,8.3,110
Амадей,8.3,111
Лицо со шрамом,8.3,112
Звёздные войны. Эпизод 6: Возвращение джедая,8.3,113
Подводная лодка,8.3,114
Таксист,8.3,115
Афера,8.3,116
Заводной апельсин,8.3,117
Anand,8.3,118
2001 год: Космическая одиссея,8.3,119
Убить пересмешника,8.3,120
Лоуренс Аравийский,8.3,121
Квартира,8.3,122
На север через северо-запад,8.3,123
Головокружение,8.3,124
Поющие под дождём,8.3,125
Ikiru,8.3,126
Похитители велосипедов,8.3,127
Двойная страховка,8.3,128
Гражданин Кейн,8.3,129
М убийца,8.3,130
Метрополис,8.3,131
Малыш,8.3,132
Ури: Нападение на базу,8.2,133
Стреляйте в пианиста,8.2,134
