,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
0,Побег из Шоушенка,1,США,драма,"Shawshank Redemption, The",1994,9.1,765 476,9.3,1.0,0,0,1,0,0,-0.20000000000000107,драма
1,Зеленая миля,2,США,"фэнтези, драма","Green Mile, The",1999,9.1,667 940,,,0,0,1,0,0,,фэнтези
2,Властелин колец: Возвращение короля,3,"Новая Зеландия, США","фэнтези, приключения","Lord of the Rings: The Return of the King, The",2003,8.6,462 500,8.9,7.0,0,1,0,0,0,-0.3000000000000007,фэнтези
3,Интерстеллар,4,"США, Великобритания","фантастика, драма",Interstellar,2014,8.6,693 798,8.6,22.0,1,0,0,0,0,0.0,фантастика
4,Властелин колец: Две крепости,5,"Новая Зеландия, США","фэнтези, приключения","Lord of the Rings: The Two Towers, The",2002,8.6,444 233,8.7,16.0,0,1,0,0,0,-0.09999999999999964,фэнтези
5,Властелин колец: Братство Кольца,6,"США, Новая Зеландия","фэнтези, приключения","Lord of the Rings: The Fellowship of the Ring, The",2001,8.6,488 212,,,0,1,0,0,0,,фэнтези
6,Друзья: Воссоединение,7,США,комедия,Friends Reunion Special,2021,9.0,20 324,,,1,0,0,0,0,,комедия
7,Список Шиндлера,8,США,"драма, биография",Schindler's List,1993,8.8,359 776,8.9,9.0,0,0,1,0,0,-0.09999999999999964,драма
8,Форрест Гамп,9,США,"драма, мелодрама",Forrest Gump,1994,8.9,618 791,8.8,13.0,0,0,1,0,0,0.09999999999999964,драма
9,Иван Васильевич меняет профессию,10,СССР,"фантастика, комедия",-,1973,8.8,682 515,,,0,0,0,0,1,,фантастика
10,Король Лев,11,США,"мультфильм, мюзикл","Lion King, The",1994,8.8,520 544,,,0,0,1,0,0,,мультфильм
11,Назад в будущее,12,США,"фантастика, комедия",Back to the Future,1985,8.6,470 348,8.5,50.0,0,0,0,1,0,0.09999999999999964,фантастика
12,Тайна Коко,13,США,"мультфильм, фэнтези",Coco,2017,8.6,363 579,8.4,66.0,1,0,0,0,0,0.1999999999999993,мультфильм
13,Клаус,14,"Испания, Великобритания","мультфильм, семейный",Klaus,2019,8.7,84 420,8.2,140.0,1,0,0,0,0,0.5,мультфильм
14,Криминальное чтиво,15,США,"триллер, комедия",Pulp Fiction,1994,8.6,513 864,8.9,8.0,0,0,1,0,0,-0.3000000000000007,триллер
15,"Карты, деньги, два ствола",16,Великобритания,"боевик, комедия","Lock, Stock and Two Smoking Barrels",1998,8.6,386 736,8.2,165.0,0,0,1,0,0,0.40000000000000036,боевик
16,1+1,17,Франция,"драма, комедия",Intouchables,2011,8.8,1 261 694,8.5,38.0,1,0,0,0,0,0.3000000000000007,драма
17,ВАЛЛ·И,18,США,"мультфильм, фантастика",WALL·E,2008,8.3,464 151,8.4,71.0,0,1,0,0,0,-0.09999999999999964,мультфильм
18,В бой идут одни «старики»,19,СССР,"военный, драма",-,1973,8.7,355 987,,,0,0,0,0,1,,военный
19,Начало,20,"США, Великобритания","фантастика, боевик",Inception,2010,8.7,770 638,8.8,10.0,1,0,0,0,0,-0.10000000000000142,фантастика
